time,action,phase,coor,player,info,how
83:32,b,s,"45,45",1-5,,f
83:33,p,p,"45,35",1-10,,f
83:34,p,p,"45,45",1-5,,f
83:35,p,p,"42,35",1-10,,f
83:37,k,p,"25,30",1-9,,f
83:40,p,p,"27,25",1-9,,f
83:41,k,p,"15,5",1-11,,f
83:43,p,p,"15,7",1-11,z,f
83:44,,e,,1,,
83:47,q,s,"42,28",1-23,,h
83:50,p,p,"42,28",1-23,,h
83:51,k,p,"42,32",1-5,,f
83:53,p,p,"42,32",1-5,,f
83:54,p,p,"40,20",1-23,,f
83:56,k,p,"24,1",1-11,,f
83:59,p,p,"30,5",1-11,,f
84:00,k,p,"42,15",1-23,,f
84:03,p,p,"42,15",1-23,,f
84:04,p,p,"35,25",1-20,,f
84:07,k,p,"42,50",1-14,,f
84:08,p,p,"42,52",1-14,,f
84:10,k,p,"18,68",1-7,,f
84:13,p,p,"18,60",1-7,,f
84:14,,e,,1,,
84:17,l,s,"36,58",1-14,,h
84:20,p,p,"40,40",1-5,,f
84:23,p,p,"72,40",1-1,,f
84:25,k,p,"58,35",1-5,,f
84:28,p,p,"62,35",1-5,,f
84:29,k,p,"51,33",1-20,,f
84:32,p,p,"47,33",1-20,,f
84:34,k,p,"35,1",1-11,,f
84:36,p,p,"25,8",1-11,,f
84:37,,e,,1,,
84:37,q,s,"23,20",0-19,,f
84:40,p,p,"35,25",0-19,,f
84:42,p,p,"46,33",0-6,,f
84:44,k,p,"74,42",0-11,,f
84:47,s,f,"88,40",0-11,,f
84:48,o,f,"100,40",,,
84:55,,e,,0,,
84:55,b,s,"95,35",1-1,m,f
84:56,k,p,"77,65",1-21,,f
84:59,p,p,"65,65",1-21,,f
85:00,k,p,"62,35",1-20,,f
85:01,p,p,"56,33",1-20,,f
85:04,p,p,"47,5",1-23,,f
85:05,p,p,"36,13",1-9,,f
85:07,k,p,"36,1",1-11,,f
85:09,p,p,"33,1",1-11,,f
85:12,p,p,"42,23",1-23,,f
85:13,k,p,"42,25",1-21,,f
85:15,p,p,"42,30",1-21,,f
85:16,p,p,"42,38",1-10,,f
85:18,p,p,"22,65",1-7,,f
85:21,k,p,"6,55",1-21,,f
85:23,,e,,1,,
85:24,q,s,"15,55",1-7,,f
85:27,p,p,"15,55",1-7,,f
85:28,p,p,"6,53",1-21,z,f
85:07,b,s,"50,35",0-1,,f
85:08,p,p,"55,40",0-6,,f
85:09,k,p,"55,47",0-6,,f
85:14,p,p,"65,50",0-6,,f
85:15,k,p,"60,45",0-11,,f
85:20,p,p,"62,45",0-11,,f
85:30,,e,,0,,
85:30,q,s,"65,21",0-25,s,f
85:31,p,p,"64,22",0-25,l,f
85:33,k,p,"42,23",0-25,,h
85:39,p,p,"20,23",0-9,l,f
85:40,k,p,"23,25",0-9,,f
85:45,,e,,0,,
85:45,q,s,"24,30",1-11,s,f
85:47,p,p,"23,32",1-11,,f
85:48,k,p,"23,40",1-10,,f
85:56,s,f,"12,37",1-10,f,f
86:03,,e,,1,,
86:03,j,s,"3,35",0-1,f,f
86:10,k,p,"48,55",0-6,,f
86:11,p,p,"49,56",0-6,,f
86:13,k,p,"45,45",0-11,,f
86:21,p,p,"65,45",0-11,,f
86:24,k,p,"67,35",0-7,,f
86:28,p,p,"70,43",0-7,,f
86:30,k,p,"75,60",0-11,,f
86:32,p,p,"75,60",0-11,,f
86:34,k,p,"75,45",0-9,,f
86:40,s,f,"77,50",0-9,s,f
86:48,,e,,0,,
86:48,b,s,"85,35",1-1,,f
86:50,k,p,"75,65",1-2,,f
86:52,p,p,"70,60",1-2,,f
86:54,k,p,"64,46",1-7,,f
86:59,p,p,"40,45",1-7,,f
87:01,k,p,"30,2",1-11,,f
87:06,p,p,"20,10",1-11,,f
87:06,,e,,1,,
